R#,NAME,TOTAL,POS,TEAM,GP,TOI,GOA,AST,PIM,BLK,SHP,SAV,GA,SHU,WIN
113,Roman Josi,150.9,D,NAS,69,24.9,14,45,29,109,0,,0,,
114,Will Smith,150.6,LWRW,SJ,75,18.4,28,37,19,18,0,,0,,
115,Mats Zuccarello,150.3,RW,LA,83,18.2,19,47,28,48,0,,0,,
116,Matt Duchene,150,CRW,DAL,83,16.2,24,42,15,35,0,,0,,
117,Matty Beniers,150,C,SEA,84,19.4,25,31,19,76,0,,0,,
118,Aliaksei Protas,149.7,LWRW,WAS,79,17.9,26,30,19,55,3,,0,,
119,Matvei Michkov,149.7,LWRW,PHI,79,15.7,25,34,54,25,0,,0,,
120,Nikolaj Ehlers,149.7,LW,CAR,79,16.2,24,42,18,31,0,,0,,
121,Bowen Byram,149.1,D,CHI,84,23.6,14,39,50,107,1,,0,,
122,William Eklund,147.3,LWRW,OTT,80,19.1,21,36,32,64,1,,0,,
