Player,FPTS,AVG,ADP,GP,OFF,B2B,G,AST,PTS,SOG,PIM,HIT,BLK
Brent Burns (COL - D),415,5.1,150.12,82,34,10,8,23,31,152,30,19,88
Mike Matheson (MTL - D),414,5,130.15,82,29,10,6,25,31,123,43,62,159
"Jonathan Huberdeau (CGY - LW,RW)",414,5.1,Undrafted,81,24,8,16,33,49,144,46,51,48
Jiri Kulich (BUF - C),413,5,Undrafted,82,27,14,22,22,44,165,25,56,54
"Pavel Buchnevich (STL - RW,LW,C)",411,5,156.13,82,21,12,20,26,46,140,25,34,37
"Pavel Zacha (BOS - C,LW)",410,5,154.95,82,26,14,20,32,52,129,20,68,26
Cole Hutson (WSH - D),409,5,115.69,82,33,14,10,35,45,140,44,88,59
Christian Dvorak (PHI - C),409,5,Undrafted,82,30,12,17,28,45,138,22,40,59
Gabriel Perreault (NYR - RW),408,5,149.28,82,33,11,19,29,48,137,18,41,35
"Trevor Moore (LA - RW,LW)",408,5,Undrafted,81,28,10,19,18,37,181,14,73,41
"Mavrik Bourque (NSH - RW,C)",407,5,Undrafted,82,18,11,19,26,45,155,19,81,31
"Lawson Crouse (UTA - RW,LW)",407,5,151.96,82,33,10,20,20,40,145,44,203,52
Justin Faulk (DET - D),406,5,146.69,82,30,12,9,22,31,149,35,77,128
Jake Walman (EDM - D),404,5.1,153.52,79,31,11,9,19,28,143,29,36,145
Ivan Provorov (CBJ - D),404,4.9,154.52,82,23,13,5,24,29,124,29,29,134
Simon Edvinsson (DET - D),403,4.9,155.44,82,30,12,8,21,29,97,74,105,158
Chris Kreider (MTL - LW),403,5,226.32,80,29,10,23,24,47,144,31,77,21
Benjamin Kindel (PIT - C),402,5,Undrafted,81,29,15,19,20,39,161,18,32,59
Sean Monahan (CBJ - C),402,4.9,Undrafted,82,23,13,14,28,42,137,14,43,43
"Victor Olofsson (VGS - LW,RW)",400,4.9,Undrafted,82,28,8,18,22,40,154,15,30,23
"Tyler Toffoli (SJ - RW,LW)",400,4.9,198.73,82,31,13,22,24,46,171,12,46,26
Owen Power (BUF - D),398,4.9,154.41,82,27,14,8,28,36,132,19,30,109
"Dawson Mercer (NJ - RW,C)",397,4.8,Undrafted,82,24,13,20,20,40,149,25,35,51
Cameron York (PHI - D),397,4.8,Undrafted,82,30,12,6,26,32,99,33,37,156
Damon Severson (CBJ - D),397,4.8,Undrafted,82,23,13,9,27,36,106,52,44,106
Brayden McNabb (VGS - D),397,4.8,Undrafted,82,28,8,4,11,15,101,32,137,190
Morgan Rielly (TOR - D),395,4.8,141.37,82,26,11,8,28,36,136,27,39,121
Matthew Samoskevich (SEA - RW),394,4.8,Undrafted,82,27,13,18,20,38,177,26,143,39
Noah Cates (PHI - C),394,4.9,Undrafted,80,30,12,16,24,40,124,24,92,52
Aaron Ekblad (FLA - D),394,4.8,151.7,82,30,14,5,28,33,127,67,101,102
"Arseny Gritsyuk (NJ - RW,LW)",393,4.9,Undrafted,80,24,13,18,23,41,182,30,68,23
K'Andre Miller (CAR - D),393,4.9,152.21,80,25,12,7,29,36,125,46,109,100
Colton Parayko (STL - D),391,4.8,138.35,81,21,12,6,16,22,120,20,103,173
"Vasily Podkolzin (EDM - LW,RW)",388,4.8,Undrafted,81,31,11,16,20,36,143,52,235,53
"Matthew Savoie (EDM - C,RW)",387,4.7,Undrafted,82,31,11,17,23,40,157,23,18,40
"Eeli Tolvanen (NYR - LW,RW)",387,4.7,213.69,82,33,11,18,18,36,141,25,196,78
Jake McCabe (TOR - D),384,4.7,151.32,82,26,11,4,23,27,79,63,131,171
Morgan Frost (CGY - C),381,4.6,Undrafted,82,24,8,19,23,42,148,24,66,48
"Patrik Laine (N/A - LW,RW)",381,5.1,Undrafted,75,0,0,20,21,41,157,21,33,42
"Boone Jenner (WSH - C,LW)",381,4.9,Undrafted,78,33,14,14,19,33,150,40,153,72
Neal Pionk (WPG - D),379,4.8,Undrafted,79,29,9,4,22,26,132,52,160,114
"Brayden Schenn (NYI - C,LW)",378,4.6,225.63,82,25,13,19,28,47,127,52,179,46
"Claude Giroux (OTT - RW,LW,C)",377,4.6,Undrafted,82,28,14,13,29,42,134,21,58,28
"Jake Neighbours (STL - LW,RW)",376,4.6,154.16,82,21,12,20,24,44,112,45,166,45
"Simon Holmstrom (NYI - RW,LW)",376,4.6,Undrafted,82,25,13,19,23,42,110,14,20,53
Sean Durzi (NYR - D),376,4.6,Undrafted,82,33,11,7,28,35,115,57,49,124
Jaccob Slavin (CAR - D),376,4.7,224.99,80,25,12,4,19,23,121,9,22,125
Alexander Nikishin (CAR - D),375,4.6,153.37,82,25,12,7,22,29,128,35,140,96
"Vladimir Tarasenko (N/A - RW,LW)",375,4.7,Undrafted,80,0,0,18,24,42,141,9,63,38
Connor Brown (NJ - RW),373,4.5,Undrafted,82,24,13,15,27,42,124,17,26,39
Adam Larsson (SEA - D),373,4.5,219.66,82,27,13,6,17,23,102,38,111,155
"Ross Colton (NSH - LW,C)",372,4.6,Undrafted,81,18,11,16,17,33,166,25,178,43
Fraser Minten (BOS - C),371,4.5,226.77,82,26,14,17,20,37,121,18,154,48
"Shane Wright (SEA - C,RW)",371,4.5,Undrafted,82,27,13,17,19,36,112,14,54,64
"Emil Heineman (NYI - LW,RW)",370,4.5,Undrafted,82,25,13,20,14,34,169,21,244,50
"Tommy Novak (PIT - C,LW)",370,4.5,Undrafted,82,29,15,18,25,43,135,13,11,38
"Fabian Zetterlund (OTT - LW,RW)",369,4.5,Undrafted,82,28,14,16,18,34,152,19,153,46
Anthony DeAngelo (NYI - D),369,4.5,Undrafted,82,25,13,7,30,37,152,44,34,74
James Hagens (BOS - C),368,4.5,149.76,81,26,14,17,24,41,141,24,38,27
J.J. Moser (TB - D),367,4.5,154.8,82,17,13,5,21,26,114,53,65,98
Oliver Kapanen (MTL - C),366,4.5,Undrafted,82,29,10,19,17,36,134,22,33,61
Jordan Spence (OTT - D),365,4.6,Undrafted,80,28,14,6,26,32,117,20,69,78
Denton Mateychuk (CBJ - D),364,4.5,153.76,81,23,13,10,22,32,101,17,32,101
Jonas Brodin (MIN - D),364,4.7,Undrafted,77,24,10,5,16,21,98,23,20,146
Mikael Backlund (CGY - C),364,4.4,Undrafted,82,24,8,13,20,33,177,21,32,31
Ryan Poehling (ANA - C),363,4.4,Undrafted,82,34,11,11,24,35,110,15,47,96
"Jaden Schwartz (COL - LW,C)",363,4.4,Undrafted,82,34,10,16,21,37,135,18,48,49
Martin Fehervary (WSH - D),362,4.4,222.54,82,33,14,4,19,23,74,34,123,163
Matt Roy (WSH - D),362,4.4,Undrafted,82,33,14,3,19,22,101,24,125,141
Chandler Stephenson (SEA - C),360,4.4,Undrafted,82,27,13,15,34,49,90,19,26,55
"Justin Sourdif (WSH - C,RW)",358,4.4,Undrafted,82,33,14,14,21,35,115,31,101,42
Josh Manson (COL - D),358,4.5,227.21,79,34,10,4,20,24,122,81,167,98
